ItemNum,ItemName,Cost,Price,Retail_Price,Tax_1,AltSku,Dept_ID,ItemName_Extra,Count_This_Item,Print_On_Receipt,AllowReturns
718122878970,HORSE CREEK HAHIRA RED 750ML,13.43000000,16.99000000,0.00000000,True,718122878970,WINE,.,False,True,True
718122879175,HORSE CREEK B JACK B.BERRY,6.92000000,9.99000000,0.00000000,True,718122879175,WINE,750ML,False,True,True
718122879274,HORSE CREEK MISS BLUE BERRY,6.92000000,9.99000000,0.00000000,True,718122879274,WINE,.,False,True,True
718122879472,HORSE CREEK TRV PEACH 750ML,6.92000000,9.99000000,0.00000000,True,718122879472,WINE,.,False,True,True
718122879571,HORSE CREEK RED J STRAWBE 750M,6.92000000,9.99000000,0.00000000,True,718122879571,WINE,.,False,True,True
718122879670,HORSE CREEK JUB WATERMON 750ML,6.42000000,9.99000000,0.00000000,True,718122879670,WINE,.,False,True,True
718122879779,HORSE CREEK JOCKEY 750ML,6.92000000,9.99000000,0.00000000,True,718122879779,WINE,.,False,True,True
718122879878,HORSE CREEK BIG RED 750ML,6.92000000,9.99000000,0.00000000,True,718122879878,WINE,.,False,True,True
718122880072,HORSE CREEK PONDEROSA  GOLD 75,9.99000000,12.99000000,0.00000000,True,718122880072,WINE,.,False,True,True
718122880171,HORSE CREEK FLORIDA JOE 750ML,7.67000000,9.99000000,0.00000000,True,718122880171,WINE,.,False,True,True
718122880270,HORSE CREEK WINNERSVILLE 750ML,6.92000000,9.99000000,0.00000000,True,718122880270,WINE,.,False,True,True
718250530900,750 GRAN DE ALB LIQ,0.00000000,0.00000000,0.00000000,False,718250530900,NONE,.,False,True,True
718742001918,PASCUAL TOSO RES MALBEC 750ML,15.38000000,19.99000000,0.00000000,True,718742001918,WINE,.,False,True,True
719057001310,PRESIDENTE 12OZ 6PK NR,6.24000000,7.99000000,0.00000000,True,719057001310,BEER,.,False,True,True
719057001563,PRESIDENTE 12OZ 12PK NR,10.85000000,13.99000000,0.00000000,True,719057001563,BEER,.,False,True,True
719057011555,PRESIDENTE 12OZ,0.00000000,1.49000000,0.00000000,True,719057011555,BEER,SINGLE,False,True,True
719410200015,5-HOUR ENERGY GRAPE,1.72000000,3.49000000,0.00000000,True,719410200015,BEVERAGS,.,False,True,True
719410300012,5-HOUR ENERGY ORANGE,1.72000000,3.49000000,0.00000000,True,719410300012,BEVERAGS,.,False,True,True
719410400019,5-HOUR ENERGY LEMON LIME,1.72000000,3.49000000,0.00000000,True,719410400019,BEVERAGS,.,False,True,True
719410500016,5-HOUR ENERGY BERRY,1.72000000,3.49000000,0.00000000,True,719410500016,BEVERAGS,.,False,True,True
719410600013,5-HOUR ENERGY DECAFE 0 SUGAR,1.72000000,3.49000000,0.00000000,True,719410600013,BEVERAGS,.,False,True,True
719410700010,5- HOUR ENERGY EXTRA STRN BERY,1.72000000,3.49000000,0.00000000,True,719410700010,BEVERAGS,.,False,True,True
719410720018,5-HOUR ENERGY EXTRA STRN GRAPE,1.72000000,3.49000000,0.00000000,True,719410720018,BEVERAGS,.,False,True,True
719410800017,5-HOUR ENERGY POMEGRANATE,1.72000000,3.49000000,0.00000000,True,719410800017,BEVERAGS,.,False,True,True
719751201030,MORETTI PILSNER 12OZ 6PK NR,7.74000000,10.99000000,8.49000000,True,719751201030,BEER,.,False,True,True
719751202037,MORETTI LAROSSA 12OZ 6PK NR,8.16000000,10.99000000,8.49000000,True,719751202037,BEER,.,False,True,True
719812030975,OXO STEEL POURER/STOPPER,5.55000000,9.99000000,0.00000000,True,719812030975,NOVELTY,.,False,True,True
720215930838,750 CORRALEJO TRPL DST 6N,0.00000000,0.00000000,0.00000000,False,720215930838,NONE,.,False,True,True
720496033879,LARMEVAILLE ENTRE DEUX 750ML,11.53000000,15.99000000,0.00000000,True,720496033879,WINE,.,False,True,True
720815042100,WILSON DANIELS CHARD 750ML,9.99000000,13.99000000,0.00000000,True,720815042100,WINE,.,False,True,True
720815043107,WILSON DANIELS P NOIR 750ML,13.06000000,17.99000000,0.00000000,True,720815043107,WINE,.,False,True,True
720815044104,WILSON DANIELS MERLOT 750ML,12.30000000,16.99000000,0.00000000,True,720815044104,WINE,.,False,True,True
720815260733,CERETTO BAROLO ZONCHERA 750ML,32.30000000,49.99000000,0.00000000,True,720815260733,WINE,.,False,True,True
720815261136,CERETTO MOSCATO DASTI 750ML,15.72000000,23.99000000,0.00000000,True,720815261136,WINE,.,False,True,True
720815310025,750 SAUV REP MARL SV BLC,0.00000000,0.00000000,0.00000000,False,720815310025,NONE,.,False,True,True
720815310032,750 SAUV REP STEL SV BL,0.00000000,0.00000000,0.00000000,False,720815310032,NONE,.,False,True,True
720815800106,750 WIRRA CHURCH BLOCK,0.00000000,0.00000000,0.00000000,False,720815800106,NONE,.,False,True,True
720815801936,750 WIRRA SCRUBBY SHIRAZ,0.00000000,0.00000000,0.00000000,False,720815801936,NONE,.,False,True,True
720815802001,750 WIRRA SCRUBBY CHARD,0.00000000,0.00000000,0.00000000,False,720815802001,NONE,.,False,True,True
720815910133,CABO WABO REPOSADO 750ML,28.80000000,37.99000000,0.00000000,True,720815910133,TEQUILA,.,False,True,True
